,Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
0,1,1,Houston,AAC,33-4,11-0,6-2,16-2,8-3,8-0,7-1,10-0
1,2,2,Alabama,SEC,31-6,9-3,7-3,15-0,13-6,7-0,7-0,4-0
2,3,8,UConn,Big East,31-8,6-5,10-1,15-2,12-7,8-0,5-1,6-0
3,4,3,UCLA,Pac-12,31-6,9-2,5-4,17-0,7-6,9-0,8-0,7-0
4,5,4,Tennessee,SEC,25-11,4-6,7-3,14-2,7-8,5-3,7-0,6-0
5,6,5,Purdue,Big Ten,29-6,8-3,7-1,14-2,12-3,7-2,5-0,5-1
6,7,7,Texas,Big 12,29-9,4-6,8-2,17-1,16-9,4-0,2-0,7-0
7,8,6,Gonzaga,WCC,30-6,7-2,9-3,14-1,8-5,5-0,9-1,8-0
8,9,9,Kansas,Big 12,28-8,7-4,6-3,15-1,16-8,6-0,2-0,4-0
9,10,10,Arizona,Pac-12,28-7,6-4,7-1,15-2,8-2,7-4,6-1,7-0
10,11,11,Saint Mary's (CA),WCC,26-8,6-2,5-4,15-2,3-4,7-2,11-2,5-0
11,12,12,Marquette,Big East,29-7,9-4,4-2,16-1,9-5,6-2,8-0,6-0
12,13,13,Fla. Atlantic,C-USA,33-4,11-3,7-1,15-0,7-2,2-2,11-0,13-0
13,14,17,Creighton,Big East,24-13,5-6,6-5,13-2,6-10,8-2,6-1,4-0
14,15,14,San Diego St.,Mountain West,31-7,8-2,9-4,14-1,8-6,8-1,13-0,2-0
15,16,16,Duke,ACC,27-9,4-6,7-3,16-0,7-8,7-1,3-0,10-0
16,17,15,Baylor,Big 12,23-11,5-5,4-3,14-3,11-11,4-0,1-0,7-0
17,18,22,Xavier,Big East,27-10,7-4,5-4,15-2,10-6,5-3,6-1,6-0
18,19,24,Kansas St.,Big 12,26-10,4-7,6-2,16-1,11-9,4-1,4-0,7-0
19,20,21,Arkansas,SEC,22-14,2-8,6-3,14-3,6-11,3-2,10-1,3-0
20,21,35,Miami (FL),ACC,29-8,7-4,6-3,16-1,9-6,7-0,6-1,7-1
21,22,23,Memphis,AAC,26-9,7-5,6-2,13-2,4-5,9-3,7-1,6-0
22,23,18,Utah St.,Mountain West,25-9,6-4,6-3,13-2,1-6,9-1,14-0,1-2
23,24,25,West Virginia,Big 12,19-15,3-8,3-3,13-4,6-14,6-1,1-0,6-0
24,25,20,Iowa St.,Big 12,19-14,3-8,3-3,13-3,10-11,2-3,1-0,6-0
25,26,26,Kentucky,SEC,22-12,6-4,2-4,14-4,6-8,7-1,3-2,6-1
26,27,28,TCU,Big 12,22-13,3-7,6-2,13-4,8-12,6-0,0-0,8-1
27,28,19,Texas A&M,SEC,25-10,7-4,3-5,15-1,7-7,5-1,6-0,7-2
28,29,27,Virginia,ACC,25-8,6-5,4-2,15-1,5-6,7-1,4-1,9-0
29,30,38,North Texas,C-USA,29-7,10-3,7-2,12-2,3-4,5-1,11-1,10-1
30,31,30,Indiana,Big Ten,23-12,5-7,3-3,15-2,6-10,8-2,3-0,6-0
31,32,31,Maryland,Big Ten,22-13,2-9,4-3,16-1,3-12,8-1,2-0,9-0
32,33,33,Michigan St.,Big Ten,21-13,5-7,4-4,12-2,6-11,9-1,2-1,4-0
33,34,29,Boise St.,Mountain West,23-10,6-6,4-3,13-1,3-6,9-3,6-0,5-1
34,35,32,Auburn,SEC,21-13,4-8,3-3,14-2,4-11,6-1,8-1,3-0
35,36,34,Illinois,Big Ten,20-13,3-7,2-4,15-2,3-11,7-2,3-0,7-0
36,37,41,Northwestern,Big Ten,22-12,7-4,2-3,13-5,8-7,5-5,2-0,7-0
37,38,39,Iowa,Big Ten,19-14,4-7,1-4,14-3,4-10,9-2,1-1,5-1
38,39,57,UAB,C-USA,28-10,7-5,5-3,16-2,2-6,3-2,11-1,12-1
39,40,40,Rutgers,Big Ten,19-15,4-7,1-2,14-6,4-7,6-4,2-4,7-0
40,41,48,Penn St.,Big Ten,23-14,4-7,6-3,13-4,7-9,6-5,4-0,6-0
41,42,43,Oklahoma St.,Big 12,20-16,5-7,3-3,12-6,6-13,5-2,4-1,5-0
42,43,45,NC State,ACC,23-11,4-6,4-3,15-2,3-7,5-4,5-0,10-0
43,44,46,North Carolina,ACC,20-13,4-7,4-3,12-3,2-11,5-2,7-0,6-0
44,45,47,Oregon,Pac-12,21-15,4-6,2-3,15-6,2-7,6-7,8-1,5-0
45,46,44,Liberty,ASUN,24-9,6-7,2-1,16-1,0-4,2-2,7-3,15-0
46,47,42,Missouri,SEC,25-10,5-5,4-2,16-3,7-9,4-1,6-0,8-0
47,48,37,Nevada,Mountain West,21-11,6-7,2-3,13-1,3-5,4-4,11-2,3-0
48,49,52,Ohio St.,Big Ten,16-19,1-10,5-3,10-6,3-13,7-5,0-0,6-1
49,50,36,Oral Roberts,Summit League,26-5,11-4,3-1,12-0,0-5,1-0,5-0,20-0
50,51,56,Providence,Big East,21-12,6-6,0-4,15-2,5-9,2-3,5-0,9-0
51,52,51,Col. of Charleston,CAA,30-4,11-2,3-1,16-1,0-2,3-0,10-2,17-0
52,53,49,Mississippi St.,SEC,21-13,4-6,5-3,12-4,4-8,4-4,5-1,8-0
53,54,53,VCU,Atlantic 10,27-8,8-3,4-2,15-3,0-2,5-2,12-2,10-2
54,55,50,Southern California,Pac-12,22-11,5-5,2-4,15-2,2-6,6-3,8-1,6-1
55,56,67,Pittsburgh,ACC,24-12,7-5,3-4,14-3,6-6,3-4,5-1,10-1
56,57,61,Michigan,Big Ten,18-16,3-8,2-4,13-4,2-12,7-3,5-0,4-1
57,58,74,Utah Valley,WAC,25-9,12-5,2-3,11-1,2-3,5-2,9-3,9-1
58,59,55,Drake,MVC,26-8,6-6,7-1,13-1,0-1,3-4,11-3,12-0
59,60,58,Iona,MAAC,27-8,8-4,8-3,11-1,0-2,1-2,6-2,20-2
60,61,66,Arizona St.,Pac-12,23-13,7-6,6-2,10-5,4-6,5-5,6-1,8-1
61,62,63,Texas Tech,Big 12,16-16,3-7,2-3,11-6,5-14,0-2,2-0,9-0
62,63,70,Cincinnati,AAC,22-13,5-7,2-3,15-3,1-9,4-2,7-2,10-0
63,64,54,New Mexico,Mountain West,21-12,5-6,2-1,14-5,2-5,4-3,10-3,5-1
64,65,64,Yale,Ivy League,19-9,8-8,3-0,8-1,0-1,2-5,9-1,8-2
65,66,71,UCF,AAC,19-15,5-7,3-2,11-6,3-8,3-3,3-4,10-0
66,67,60,Clemson,ACC,23-11,5-6,3-3,15-2,5-5,3-1,6-2,9-3
67,68,59,Kent St.,MAC,26-7,9-6,4-1,13-0,0-4,2-1,10-1,14-1
68,69,65,Sam Houston,WAC,22-8,11-6,3-1,8-1,1-4,2-1,10-2,9-1
69,70,68,Oklahoma,Big 12,15-17,2-8,4-2,9-7,6-14,3-3,3-0,3-0
70,71,75,Villanova,Big East,17-17,5-9,2-4,10-4,3-12,3-3,7-2,4-0
71,72,80,Wisconsin,Big Ten,20-15,6-6,3-3,11-6,5-9,8-5,2-1,5-0
72,73,62,Florida,SEC,16-17,4-7,2-4,10-6,2-12,1-4,8-1,5-0
73,74,77,Seton Hall,Big East,16-16,6-7,1-3,9-6,4-9,2-5,5-1,5-1
74,75,76,Virginia Tech,ACC,19-15,2-10,4-1,13-4,4-8,2-4,5-2,8-1
75,76,69,Colorado,Pac-12,18-17,2-9,3-3,13-5,3-7,4-5,7-3,4-2
76,77,78,Dayton,Atlantic 10,22-12,5-6,3-4,14-2,1-2,1-6,9-3,11-1
77,78,72,Bradley,MVC,24-10,8-6,2-3,14-1,0-6,4-2,6-2,14-0
78,79,73,Washington St.,Pac-12,17-17,5-8,2-5,10-4,1-10,6-4,3-2,7-1
79,80,79,Utah,Pac-12,17-15,4-7,1-3,12-5,1-7,2-7,5-1,9-0
80,81,81,Vanderbilt,SEC,22-15,5-6,3-3,14-6,5-11,7-1,5-2,5-1
81,82,82,Toledo,MAC,26-8,10-4,4-3,12-1,1-2,2-2,8-3,15-1
82,83,83,Marshall,Sun Belt,23-8,9-5,0-1,14-2,0-0,1-2,9-5,13-1
83,84,85,BYU,WCC,17-15,2-7,4-4,11-4,1-6,1-5,8-3,7-1
84,85,86,Hofstra,CAA,24-10,11-5,3-3,10-2,2-2,3-2,5-4,14-2
85,86,89,Louisiana,Sun Belt,23-8,7-7,5-1,11-0,0-3,1-3,10-1,12-1
86,87,84,Santa Clara,WCC,22-10,6-3,3-2,13-5,0-5,4-2,11-2,7-1
87,88,88,Furman,SoCon,25-8,8-3,6-3,11-2,1-3,2-0,8-3,14-2
88,89,90,Wake Forest,ACC,19-14,4-8,2-3,13-3,2-9,4-2,4-2,9-1
89,90,87,Southern Miss.,Sun Belt,22-8,8-7,2-1,12-0,1-1,2-4,5-3,14-0
90,91,98,St. John's (NY),Big East,18-15,3-8,3-0,12-7,1-12,1-3,8-0,8-0
91,92,92,Nebraska,Big Ten,16-16,4-9,1-3,11-4,3-10,5-5,1-0,7-1
92,93,111,Princeton,Ivy League,21-9,7-4,4-2,10-3,2-2,2-2,8-3,9-2
93,94,91,UNLV,Mountain West,18-13,5-5,4-0,9-8,2-5,3-3,8-5,5-0
94,95,94,James Madison,Sun Belt,19-11,8-6,2-2,9-3,0-2,2-2,9-3,8-4
95,96,97,Stanford,Pac-12,14-19,2-8,3-5,9-6,1-9,3-5,2-4,8-1
96,97,99,Saint Louis,Atlantic 10,20-12,4-7,2-2,14-3,1-4,2-5,9-2,8-1
97,98,116,Charlotte,C-USA,22-14,5-8,6-2,11-4,2-4,0-2,7-4,13-4
98,99,95,San Jose St.,Mountain West,20-14,5-8,4-3,11-3,2-8,4-2,7-4,7-0
99,100,93,Indiana St.,MVC,22-13,7-6,5-3,10-4,0-1,2-2,5-7,15-3
100,101,101,Colgate,Patriot,25-9,11-4,1-3,13-2,0-2,1-0,2-5,22-2
101,102,96,UC Irvine,Big West,21-12,9-7,3-1,9-4,1-2,1-3,8-6,11-1
102,103,100,UC Santa Barbara,Big West,25-8,10-4,5-1,10-3,0-1,3-0,9-6,13-1
103,104,103,Montana St.,Big Sky,23-10,10-5,3-4,10-1,0-3,2-1,6-5,15-1
104,105,102,Akron,MAC,20-11,5-6,2-4,13-1,0-2,1-6,5-3,14-0
105,106,104,Grand Canyon,WAC,21-12,5-5,5-3,11-4,1-3,2-1,8-7,10-1
106,107,105,Tulane,AAC,20-11,5-4,3-4,12-3,2-5,4-0,5-5,9-1
107,108,106,South Alabama,Sun Belt,17-16,4-10,5-2,8-4,0-5,2-4,5-4,10-3
108,109,117,Middle Tenn.,C-USA,17-14,3-11,4-1,10-2,1-5,4-1,5-5,7-3
109,110,112,Wichita St.,AAC,17-15,7-4,2-3,8-8,0-7,2-3,6-3,9-2
110,111,107,LMU (CA),WCC,18-12,4-7,2-2,12-3,2-3,3-5,4-4,9-0
111,112,109,Vermont,America East,22-11,9-6,1-4,12-1,0-4,1-3,5-3,16-1
112,113,113,Southern Utah,WAC,20-13,5-8,6-3,9-2,0-4,3-1,8-8,9-0
113,114,108,San Francisco,WCC,19-14,5-6,4-3,10-5,0-6,4-3,6-3,9-2
114,115,110,Colorado St.,Mountain West,14-18,4-8,2-3,8-7,1-9,2-4,5-4,6-1
115,116,115,Kennesaw St.,ASUN,23-9,10-6,1-2,12-1,0-5,2-0,8-2,13-2
116,117,114,UNC Greensboro,SoCon,18-12,8-6,1-3,9-3,0-2,1-2,6-5,11-3
117,118,119,UMass Lowell,America East,24-8,9-8,0-0,15-0,0-1,0-2,5-0,19-5
118,119,118,Belmont,MVC,20-11,7-7,2-2,11-2,0-1,1-4,8-5,11-1
119,120,128,Eastern Wash.,Big Sky,22-11,10-7,2-2,10-2,0-2,2-3,6-4,14-2
120,121,126,Syracuse,ACC,17-15,5-6,1-2,11-7,0-8,2-4,7-1,8-2
121,122,120,Southern Ill.,MVC,22-10,8-6,2-2,12-2,1-1,2-4,6-3,13-2
122,123,125,Temple,AAC,16-16,6-6,1-3,9-7,3-4,4-4,4-6,5-2
123,124,122,Washington,Pac-12,16-16,2-9,2-1,12-6,1-7,3-6,5-2,7-1
124,125,131,Butler,Big East,14-18,3-10,1-2,10-6,2-13,3-4,4-0,5-1
125,126,121,Cal St. Fullerton,Big West,18-13,7-8,2-3,9-2,0-2,2-1,8-7,8-3
126,127,123,Youngstown St.,Horizon,22-10,9-6,1-1,12-3,0-0,0-1,4-7,18-2
127,128,132,Cornell,Ivy League,15-11,6-8,0-1,9-2,0-2,2-3,2-6,11-0
128,129,124,Ole Miss,SEC,12-21,2-9,3-2,7-10,1-12,1-6,4-1,6-2
129,130,129,Towson,CAA,21-12,8-7,3-3,10-2,0-2,1-3,5-3,15-4
130,131,127,Hawaii,Big West,21-11,6-4,2-2,13-5,0-0,0-5,7-5,14-1
131,132,134,Fordham,Atlantic 10,25-8,6-5,1-1,18-2,0-2,1-1,7-4,17-1
132,133,133,Ohio,MAC,18-14,4-11,1-2,13-1,0-2,1-7,4-2,13-3
133,134,135,Troy,Sun Belt,17-13,7-8,2-2,8-3,0-2,0-5,6-5,11-1
134,135,136,Samford,SoCon,18-10,8-7,0-1,10-2,0-1,1-3,4-4,13-2
135,136,138,SFA,WAC,16-13,6-5,1-4,9-4,0-2,0-4,7-4,9-3
136,137,130,Duquesne,Atlantic 10,20-13,3-7,1-2,16-4,0-1,1-3,9-7,10-2
137,138,141,Penn,Ivy League,16-13,6-9,0-0,10-4,0-5,1-3,7-2,8-3
138,139,139,George Mason,Atlantic 10,20-13,4-7,2-4,14-2,0-2,1-2,9-6,10-3
139,140,137,UC Riverside,Big West,21-12,9-7,4-1,8-4,0-2,3-3,7-5,11-2
140,141,144,UNCW,CAA,22-10,8-6,5-1,9-3,1-4,1-3,5-2,15-1
141,142,143,Seattle U,WAC,18-12,7-7,1-3,10-2,1-2,1-3,5-6,11-1
142,143,140,UNC Asheville,Big South,25-8,10-6,4-2,11-0,1-2,0-1,4-2,20-3
143,144,142,Missouri St.,MVC,16-15,5-8,2-3,9-4,1-2,2-4,4-6,9-3
144,145,145,Davidson,Atlantic 10,15-16,6-6,3-2,6-8,0-3,1-4,7-7,7-2
145,146,165,Eastern Ky.,ASUN,20-14,5-10,4-2,11-2,0-4,2-3,7-3,11-4
146,147,148,Lipscomb,ASUN,17-13,7-11,0-0,10-2,0-2,1-2,6-2,10-7
147,148,146,Fresno St.,Mountain West,10-20,4-9,0-4,6-7,0-7,3-4,3-8,4-1
148,149,147,UC Davis,Big West,16-14,5-9,3-1,8-4,0-1,0-5,2-7,14-1
149,150,158,Harvard,Ivy League,12-14,7-6,1-1,4-7,0-2,2-4,2-3,8-5
150,151,154,Northern Ky.,Horizon,20-13,6-6,2-4,12-3,0-2,1-4,6-4,13-3
151,152,149,Air Force,Mountain West,14-18,4-9,0-0,10-9,0-6,2-5,3-3,9-4
152,153,151,LSU,SEC,14-19,0-9,4-2,10-8,1-11,1-6,3-1,9-1
153,154,153,Old Dominion,Sun Belt,18-12,6-5,1-3,11-4,0-1,2-4,7-4,9-3
154,155,163,DePaul,Big East,10-23,2-12,1-3,7-8,1-14,2-5,2-4,5-0
155,156,150,Ball St.,MAC,18-12,6-7,2-3,10-2,0-1,2-4,2-4,14-3
156,157,152,Georgia,SEC,16-16,1-10,2-2,13-4,1-8,3-3,2-5,10-0
157,158,156,Utah Tech,WAC,11-19,3-13,2-1,6-5,0-4,0-5,5-7,6-3
158,159,160,South Fla.,AAC,14-18,4-7,1-2,9-9,1-6,1-3,3-5,9-4
159,160,159,Richmond,Atlantic 10,15-18,1-11,2-3,12-4,0-2,1-4,5-10,9-2
160,161,170,Louisiana Tech,C-USA,12-18,4-11,1-1,7-6,0-7,1-4,1-7,10-0
161,162,155,South Dakota St.,Summit League,18-13,6-9,3-2,9-2,1-4,0-3,2-4,15-2
162,163,157,Stetson,ASUN,15-14,7-9,1-2,7-3,0-4,0-1,5-7,10-2
163,164,166,Longwood,Big South,18-12,8-8,0-1,10-3,0-1,0-1,2-5,16-5
164,165,162,Tarleton St.,WAC,13-17,2-12,3-3,8-2,0-4,1-5,6-6,6-2
165,166,168,Boston College,ACC,16-17,4-7,3-3,9-7,2-7,3-4,5-3,6-3
166,167,161,Long Beach St.,Big West,15-16,6-9,2-2,7-5,0-4,1-3,5-7,9-2
167,168,164,Portland,WCC,12-19,2-10,2-2,8-7,0-7,1-5,3-6,8-1
168,169,177,Western Ky.,C-USA,15-16,5-9,3-2,7-5,1-5,0-3,5-6,9-2
169,170,167,Montana,Big Sky,16-14,6-9,2-1,8-4,0-2,0-3,3-7,13-2
170,171,169,California Baptist,WAC,15-16,4-8,1-3,10-5,0-2,1-4,6-4,8-6
171,172,173,Navy,Patriot,17-13,9-7,0-0,8-6,0-2,1-1,2-2,14-8
172,173,184,Radford,Big South,19-15,7-10,4-2,8-3,0-3,1-1,3-5,15-6
173,174,175,A&M-Corpus Christi,Southland,20-11,8-7,3-2,9-2,0-4,0-0,1-1,19-6
174,175,174,Quinnipiac,MAAC,19-12,9-6,2-2,8-4,0-2,1-1,4-0,14-9
175,176,183,Brown,Ivy League,14-13,7-8,0-0,7-5,0-3,0-4,4-5,10-1
176,177,179,Georgia Tech,ACC,13-18,3-9,1-3,9-6,1-8,2-6,2-3,8-1
177,178,176,Chattanooga,SoCon,15-17,6-9,3-1,6-7,0-1,1-5,3-8,11-3
178,179,182,Bryant,America East,15-13,7-8,1-1,7-4,0-3,1-2,2-3,12-5
179,180,172,Wyoming,Mountain West,8-22,1-8,1-6,6-8,1-6,1-9,2-6,4-1
180,181,178,FGCU,ASUN,16-15,6-9,3-1,7-5,1-3,0-0,6-6,9-6
181,182,192,UTEP,C-USA,12-18,3-10,0-1,9-7,0-6,1-3,2-7,9-2
182,183,181,Norfolk St.,MEAC,18-11,6-8,6-1,6-2,0-4,0-0,2-3,16-4
183,184,186,Notre Dame,ACC,11-21,0-10,0-3,11-8,0-7,2-5,2-7,7-2
